Code Smell,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35
S1,1.0,0.056621203066755166,0.0036935891032518434,-0.027347551110974744,0.015599270244639845,0.0,0.0,-0.00306273860757314,-0.013952921482009337,2.5970910643952044e-05,-0.0011429506255886844,-0.0464988339336325,-0.0025502539475641245,0.6528374744604551,0.03487606031775327,0.03487606031775327,0.0046480187054838236,0.006994101540724125,0.00014469653244386343,-0.00856236950940686,-0.00856236950940686,-0.007585137271590543,0.008035963340205803,-0.006670855106094984,0.01990088482776295,0.06233305823614573,0.034465304982665104,-0.5147540956234804,0.0036935891032518434,0.05570170805770862,0.04937393513352801,0.172214706054303,0.1351561415352018,0.08082461086773635,0.04023902391577102
S2,0.056621203066755166,1.0,0.15286770312338582,-0.13847663653104297,0.266530146839593,0.0,0.0,0.05905097391366839,-0.08181468806064456,-0.1130036353776281,0.055246504468076836,0.11353551520889048,-0.016751145512042074,0.09232604364186642,-0.025439743938682938,-0.025439743938682938,0.30564027354748985,0.26783580266736245,0.15471586264221276,-0.03679614832703512,-0.03679614832703512,0.1483159008355283,0.2096374220100748,-0.0564587281144146,0.0683719178151086,0.11722137469178964,-0.02396371323957679,0.16557229387879596,0.15286770312338582,-0.36197782839285525,-0.2634444627054583,0.045838781074357994,0.23268838978656417,0.0880015048451301,0.06235670248745891
S3,0.0036935891032518434,0.15286770312338582,1.0,-0.060587605086811144,0.1418439812186831,0.0,0.0,0.0323359086583884,0.0724364255042026,-0.0776270674355058,-0.2459704170757315,0.1795292942594776,-0.012042432693584695,0.0048254289176569145,0.21416849480819933,0.21416849480819933,0.09175021472199545,0.08966563726811287,0.024886662826119815,-0.0034973599461121424,-0.0034973599461121424,0.26076979157884217,0.09593831590029721,0.15701930463343486,0.03565749785923973,0.10714662246490014,0.06903688284585191,0.1379220169865606,1.0,-0.07226044650160438,-0.05822387478953051,-0.0050061014266176915,0.16209283395181548,0.10617362927990452,0.021932786970355066
S4,-0.027347551110974744,-0.13847663653104297,-0.060587605086811144,1.0,-0.0972824103571593,0.0,0.0,-0.003907835241786708,0.09389146266799141,0.5124380126946637,-0.04364869690932564,-0.018253000197184517,0.04819360741610695,-0.042208385907148815,-0.06597654520871298,-0.06597654520871298,-0.09807463359429452,-0.08524486743830943,-0.039907916929967785,-0.02896298285421256,-0.02896298285421256,-0.05553689470740559,-0.0731301351786368,0.09220178373647982,-0.023555194794592938,0.038419090412031134,0.20298203119739536,0.126820026606612,-0.060587605086811144,0.30800883044738064,0.39168533888798407,-0.02692054849892371,0.12660048157281079,0.10111222877338683,0.06048291063339474
S5,0.015599270244639845,0.266530146839593,0.1418439812186831,-0.0972824103571593,1.0,0.0,0.0,0.06934270914529109,-0.11526888771120156,-0.07264679885646688,-0.02330867361590531,0.09123904358854464,-0.0014558964223588943,0.06416554785382916,0.5255081403277029,0.5255081403277029,0.3096635043660504,0.29968505578560417,0.2540206775170275,-0.033651439159378814,-0.033651439159378814,0.39619925189657773,0.30625226007176926,-0.07943826764243986,0.11457130188549676,0.06286147574148457,-0.15876993175933235,0.12558008681052749,0.1418439812186831,-0.2902743940094533,-0.19923724638206242,0.043469565817147685,0.15652110416212583,0.008867703194034854,0.05617468212894316
S6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S8,-0.00306273860757314,0.05905097391366839,0.0323359086583884,-0.003907835241786708,0.06934270914529109,0.0,0.0,1.0,-0.00535324637715901,0.007254306481066436,0.04800981931086236,-0.019890384806101145,-0.007335216410915997,-0.014572288749483416,0.07310414155241847,0.07310414155241847,0.05314847519020332,0.044955905744698106,0.036247527108134246,-0.013930722181737644,-0.013930722181737644,0.05007362074056209,0.09134539191037992,0.00747515790582792,0.07451120504517711,0.08780465020238064,0.021655563114594784,0.0899032078308294,0.0323359086583884,-0.005997970949723187,-0.023907510671943584,-0.008040214704625463,0.10166505266538317,0.07215718357653819,-0.011108672228172538
S9,-0.013952921482009337,-0.08181468806064456,0.0724364255042026,0.09389146266799141,-0.11526888771120156,0.0,0.0,-0.00535324637715901,1.0,0.18155868326965185,0.020432164272831635,0.10781829011836533,-0.014353610450306883,-0.00605692884608702,-0.027262377580591298,-0.027262377580591298,-0.15294749656282663,-0.13462526558529525,-0.03445401944002279,0.03637200475980182,0.03637200475980182,0.03533618788289884,-0.14658355976969664,0.42056696696213564,-0.010783244983796798,0.10299318137071509,0.2619542271414969,0.18033022569673518,0.0724364255042026,0.36414383265027583,0.39316519005578937,0.0038622961256266244,0.19822099293321643,0.1950145772663815,0.04992144353844383
S10,2.5970910643952044e-05,-0.1130036353776281,-0.0776270674355058,0.5124380126946637,-0.07264679885646688,0.0,0.0,0.007254306481066436,0.18155868326965185,1.0,-0.12648006030572267,-0.08816375134078494,0.06491267750966573,-0.028325510058050764,-0.0577603639889601,-0.0577603639889601,-0.09339729251132327,-0.0761366595158583,-0.03659569432566154,-0.022031912140106826,-0.022031912140106826,-0.060770823633411325,-0.07714979743356211,0.19276798746632443,-0.017918250505115422,0.001174961615490235,0.15440682680616824,0.0833132549471172,-0.0776270674355058,0.24414817625080157,0.3423288300827011,-0.01691527671007006,0.09630398570983044,0.05822200834917167,0.07311175235868016
