Code Smell,X,Y
S1,-0.43697845757642906,-0.9146270558343651
S2,-0.9473866108492442,-0.5459851162064884
S3,0.10633243689673086,-0.8318061971040869
S4,-0.2932832362957482,-1.4588769388496232
S5,-0.9473866108487452,-0.5459851162010924
S6,-0.9473866108488282,-0.5459851162038333
S7,-0.9473866108488002,-0.5459851162061096
S8,-0.947386610848788,-0.5459851162079247
S9,0.8358332381344096,-1.393096943494828
S10,-0.4206905662459218,-0.9250197156426974
S11,-0.8052977935100647,-0.5406087163713605
S12,-0.5899769539240896,-1.0962473009210598
S13,-0.9473866108487466,-0.5459851162050516
S14,-0.4369784575765612,-0.9146270558340402
S15,-0.48921018901124547,1.4518715969894438
S16,-0.4892101890111314,1.45187159698875
S17,-0.3471213716723877,1.457247996822945
S18,-0.34712137167240215,1.4572479968217893
S19,-0.9473866108487806,-0.5459851162050786
S20,-0.9473866108487962,-0.5459851162053142
S21,-0.9473866108488014,-0.5459851162050819
S22,-0.7394534397136925,1.812303896599564
S23,-0.597364622374871,1.817680296431869
S24,-0.21275739511076583,1.4332692971615997
S25,-0.7394534397136882,1.8123038965997356
S26,0.8805934521500245,1.6214055920141397
S27,1.4444993464617504,-0.22525226012684504
S28,1.7494876131548136,0.779484634400974
S29,0.9018154579183858,0.0967757462772366
S30,1.6249096022677911,-0.6743023614823925
S31,1.1393258664678532,-0.7083208114513896
S32,0.6370541973128434,-0.5358725771538471
S33,2.3535811450813164,-0.07800080025106841
S34,2.270729902209805,0.3327420148647307
S35,1.5272147229925759,-0.3136797816092363
