Code Smell,X,Y
S1,-2.0859013260863444,-3.231802536138222
S2,-1.4444322734974218,-3.3050780574545398
S3,-3.907945496911308,-1.521163416768773
S4,-3.9079454969078293,-1.5211634167521806
S5,-3.4291762234378482,-3.0647341657294715
S6,-3.9079454969091074,-1.5211634167603547
S7,-3.9079454969098704,-1.5211634167633235
S8,-2.9774305184369703,-2.7185494934727528
S9,-1.4294531669143427,2.690102709911563
S10,-2.4783703615286647,1.5041643185312688
S11,1.5841086991451196,1.8474642870164502
S12,-0.31756518870522255,3.451520960266692
S13,-1.818032710511135,3.214124276509691
S14,2.0436934634711372,-0.47496045053518055
S15,-1.0783746184926706,2.11667445528335
S16,-1.0783746184928433,2.116674455282563
S17,1.3124995161801134,-3.1442936933593573
S18,0.413107159996103,-0.992468917529958
S19,-0.17898226230851744,-0.03515032054438467
S20,-0.17212008977238608,4.199616029511356
S21,-0.17212008977231424,4.19961602951406
S22,-1.0783746184931045,2.1166744552856924
S23,1.4177808565662315,-3.757332357001558
S24,-1.0783746184926186,2.1166744552857866
S25,-1.0783746184923968,2.1166744552837446
S26,1.6997702619361486,2.63843224600413
S27,3.2530592783967496,2.8198264881393222
S28,3.6052011414720786,1.0051372340688922
S29,0.2965790110919269,-3.652742041643746
S30,3.1882912716989784,0.9628003031142571
S31,1.9495374084315427,1.7112026800409423
S32,3.0189709016922386,-2.94757988643142
S33,5.296477488282046,-0.9148454911749908
S34,4.3026870909277015,-3.3426154394009493
S35,4.14547574178459,-3.1605733215887017
