Code Smell,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35
S1,1.0,0.08539764695693751,0.0392316409442104,-0.0388037156605908,0.03275448597803296,0.0038802734296050274,0.02841738496335554,-0.009698292093356528,-0.04248609545912269,-0.03241155190693897,0.040953451498520664,-0.007162175869817974,-0.008153963671102878,0.6653691839945074,0.07372777941784087,0.07372777941784087,0.014831184047069955,-0.005047564492571474,-0.021376052206951712,-0.004854703516498391,-0.004854703516498391,0.013417369568420186,0.01669939787402585,-0.03032269740957671,0.02437613600274743,0.04164567610405956,0.03742345174801372,-0.4850391204367289,0.0392316409442104,0.03446486050044021,0.025913014339856967,0.12682068454814105,0.13802041240838275,0.05643938648509216,0.06860391833227901
S2,0.08539764695693751,1.0,0.09454612801160375,-0.13144919406517544,0.3234184592516651,0.11030793116572211,0.022566731859341185,0.07354805139074995,-0.0834870830997921,-0.11796167179100038,0.10513225554671879,0.02690086555583994,-0.02273099844413362,0.12765623521585892,0.011096278909372655,0.011096278909372655,0.35108123864760515,0.30749713321595945,0.1314719852083992,-0.03262619898779835,-0.03262619898779835,0.309082354476403,0.20353778745708342,-0.06871048631897483,0.10880357264482274,0.11481606052795973,-0.019384011804604438,0.15809777572032901,0.09454612801160375,-0.3683688794540427,-0.2875853734998422,0.07404323515430881,0.23775707143072097,0.05408722331154007,0.0763541359660857
S3,0.0392316409442104,0.09454612801160375,1.0,-0.035463552690654494,0.11860661070755843,0.0692317551215588,0.09752665972467604,0.016670618638830948,0.015740327426997228,-0.06436966707228849,-0.16002296122398543,0.11232834400041529,0.019070823201175795,0.04673307488911369,0.1921497430230071,0.1921497430230071,0.15649594246242535,0.14821400893104494,0.039307982806855234,0.005806506986023056,0.005806506986023056,0.18206718376642722,0.05962062971991666,0.013864215615100654,0.015694743142909293,0.08017830754689693,0.022112786914997754,0.09074315524554281,1.0,-0.08353490755180105,-0.11940087790995309,0.015757417255336782,0.12973996807363108,0.08342974383179402,0.023616738871688622
S4,-0.0388037156605908,-0.13144919406517544,-0.035463552690654494,1.0,-0.08448632581254793,-0.02912426726539805,-0.02053133029472035,0.011251255032138906,0.05861394383330658,0.45837761045221237,-0.004872272287638665,-0.04390613057459594,0.14007609951821834,-0.05093242248395947,-0.05850670618434665,-0.05850670618434665,-0.06066953345555165,-0.06207613504992272,-0.051596152699058054,-0.021372523677274453,-0.021372523677274453,-0.07421879916694434,-0.024414299499834455,0.051289140756345344,-0.03189483262423407,0.038726518091899025,0.19110225289655733,0.1325875669729489,-0.035463552690654494,0.27718453637470436,0.33808566820163266,-0.025362410538752683,0.12349324448799912,0.09622601292753125,0.05992459420036728
S5,0.03275448597803296,0.3234184592516651,0.11860661070755843,-0.08448632581254793,1.0,0.3331745141291957,0.18831392934858457,0.05533898959543126,-0.12200744215064713,-0.07717148160711298,0.006245872042936422,0.0816350617544553,-0.007319677761507533,0.09555680241249884,0.4954829854527526,0.4954829854527526,0.33718848072331203,0.33500005162758384,0.23449229479517836,-0.03643456090293348,-0.03643456090293348,0.382250052462448,0.2539937203798208,-0.06667467669834848,0.0928263836145913,0.03399194693473001,-0.15549372535554837,0.11745641114085768,0.11860661070755843,-0.28629843171544433,-0.19837160819199265,0.08351390208193864,0.1555426028327588,0.019292560270702707,0.09312987274665496
S6,0.0038802734296050274,0.11030793116572211,0.0692317551215588,-0.02912426726539805,0.3331745141291957,1.0,0.5520478497463899,0.055691580735189136,-0.026249512426536642,-0.025711570889081707,0.013529930782471599,0.017145512536207465,-0.011657010537568159,0.030985882780580783,0.24594851956219393,0.24594851956219393,0.12839282722293943,0.14925723182901623,0.18655066246430224,-0.0121390671263452,-0.0121390671263452,0.14258059086407454,0.10084641746660299,-0.02221430301369192,-0.013384380106822559,0.06130855530084436,-0.07647156890145856,0.04340164297878521,0.0692317551215588,-0.09779462840908557,-0.06663594358107734,0.037101722878633295,0.051822831125200704,0.04940632274899685,-0.011727054608453585
S7,0.02841738496335554,0.022566731859341185,0.09752665972467604,-0.02053133029472035,0.18831392934858457,0.5520478497463899,1.0,0.020185278735236355,-0.026135004151469965,-0.018125529116642974,-0.012943548352174272,0.027273415707258067,-0.00821768085750919,0.02590294800450563,0.35092268277800037,0.35092268277800037,0.09735967969701899,0.11700272196419356,0.16426746952169546,0.015467750398201485,0.015467750398201485,0.2033679639071475,0.08437645645132591,-0.015660108743164244,0.01389156527229281,0.03188517188437594,-0.07716017242273307,0.015009787257181365,0.09752665972467604,-0.06894092128119826,-0.04697541588587572,0.007194897167830267,0.03653282168245766,0.01807800236867882,0.00302346498708724
S8,-0.009698292093356528,0.07354805139074995,0.016670618638830948,0.011251255032138906,0.05533898959543126,0.055691580735189136,0.020185278735236355,1.0,4.890859598883186e-05,0.004429964170885394,0.03949596517529504,-0.000978069307662021,-0.024305524174716465,-0.008147715678257483,0.02327781084206606,0.02327781084206606,0.011309719308498235,0.004704223551286746,0.025711275112293933,0.00019799717866921015,0.00019799717866921015,0.015954632596518456,0.005589435362937983,0.009784858123243794,0.1949978654071131,0.09015235285221121,0.045833706697136795,0.10129100209125942,0.016670618638830948,0.009221169085896139,-0.00525736476918248,0.009138016528385763,0.10805352458556955,0.06984350396066703,-0.0016179937149337518
S9,-0.04248609545912269,-0.0834870830997921,0.015740327426997228,0.05861394383330658,-0.12200744215064713,-0.026249512426536642,-0.026135004151469965,4.890859598883186e-05,1.0,0.2528487067428776,-0.022704494966183743,0.18839871521996443,-0.023012373746122805,-0.02538571112507754,-0.0850475820089706,-0.0850475820089706,-0.15910703418288918,-0.1359000949646848,-0.051489654327838086,-0.006757481091578613,-0.006757481091578613,-0.037825051308782005,-0.19300917934868358,0.3230204650948627,-0.022731459793359995,0.1543468314965116,0.25749982029043095,0.20775284773733213,0.015740327426997228,0.365091588242553,0.3872398338146887,0.004144396612121342,0.20609252031292208,0.09829726243848982,0.010642751747908193
S10,-0.03241155190693897,-0.11796167179100038,-0.06436966707228849,0.45837761045221237,-0.07717148160711298,-0.025711570889081707,-0.018125529116642974,0.004429964170885394,0.2528487067428776,1.0,-0.13446997385125323,-0.04479579078340976,0.06918227639070083,-0.029585911984764356,-0.05165106163315611,-0.05165106163315611,-0.07972898607248545,-0.0658979202106969,-0.04840315557644747,-0.02553765303614789,-0.02553765303614789,-0.06837734692762448,-0.05951543271382983,0.1050522082026147,-0.028157489510054715,-0.005328247156894071,0.17075023725532476,0.12030921468067425,-0.06436966707228849,0.25431099486160214,0.3460670520585376,-0.02290653880943378,0.1139808188142491,-0.0009417291799140736,0.0962297594858912
S11,0.040953451498520664,0.10513225554671879,-0.16002296122398543,-0.004872272287638665,0.006245872042936422,0.013529930782471599,-0.012943548352174272,0.03949596517529504,-0.022704494966183743,-0.13446997385125323,1.0,-0.17321841164658755,-0.003709653244608367,0.028895617366692862,-0.015557609276100018,-0.015557609276100018,0.05507165833469968,0.043017426805207995,0.02308285034723134,-0.01194760675934378,-0.01194760675934378,-0.039438153062808706,0.041187674632767825,-0.08011251182268209,0.050932925434829475,0.16309827872552854,0.1783336502070879,0.2144494575099387,-0.16002296122398543,0.06668175426961699,-0.028885080370617874,0.02852165682911964,0.27103029901853315,0.12213909502892721,0.05371525531337775
S12,-0.007162175869817974,0.02690086555583994,0.11232834400041529,-0.04390613057459594,0.0816350617544553,0.017145512536207465,0.027273415707258067,-0.000978069307662021,0.18839871521996443,-0.04479579078340976,-0.17321841164658755,1.0,-0.024069606841254088,0.08470608634969493,0.05204462476213301,0.05204462476213301,0.023341667075204783,0.030972249351425254,0.04711774738484205,0.014490924965056967,0.014490924965056967,0.11479028469696376,0.022636936453937495,0.29307354695486976,0.055748960371226446,0.07318232468389142,0.0650021216649865,0.12834571995632077,0.11232834400041529,0.06649156590569734,0.09791626387333317,0.03020240994259915,0.14043829101084396,0.10523227521534423,0.03911863630699551
